,antecedents,consequents,confidence
32,"frozenset({'Bottles and Cages', 'Vests', 'Jerseys'})",frozenset({'Bike Racks'}),0.9793814432989691
33,"frozenset({'Bike Racks', 'Bottles and Cages', 'Jerseys'})",frozenset({'Vests'}),0.9760273972602741
34,"frozenset({'Bike Racks', 'Vests'})","frozenset({'Bottles and Cages', 'Jerseys'})",0.858433734939759
35,"frozenset({'Bottles and Cages', 'Vests'})","frozenset({'Bike Racks', 'Jerseys'})",0.7125
36,"frozenset({'Vests', 'Jerseys'})","frozenset({'Bike Racks', 'Bottles and Cages'})",0.776566757493188
37,"frozenset({'Bike Racks', 'Bottles and Cages'})","frozenset({'Vests', 'Jerseys'})",0.8878504672897196
38,"frozenset({'Bike Racks', 'Jerseys'})","frozenset({'Bottles and Cages', 'Vests'})",0.8213256484149857
39,"frozenset({'Bike Racks', 'Caps', 'Vests'})",frozenset({'Jerseys'}),1.0
40,"frozenset({'Caps', 'Vests', 'Jerseys'})",frozenset({'Bike Racks'}),0.9517684887459807
41,"frozenset({'Bike Racks', 'Vests', 'Jerseys'})",frozenset({'Caps'}),0.8942598187311179
42,"frozenset({'Bike Racks', 'Caps', 'Jerseys'})",frozenset({'Vests'}),0.9704918032786886
43,"frozenset({'Caps', 'Vests'})","frozenset({'Bike Racks', 'Jerseys'})",0.9517684887459807
44,"frozenset({'Bike Racks', 'Vests'})","frozenset({'Caps', 'Jerseys'})",0.891566265060241
45,"frozenset({'Vests', 'Jerseys'})","frozenset({'Bike Racks', 'Caps'})",0.8065395095367848
46,"frozenset({'Bike Racks', 'Caps'})","frozenset({'Vests', 'Jerseys'})",0.9308176100628931
47,"frozenset({'Bike Racks', 'Jerseys'})","frozenset({'Caps', 'Vests'})",0.8530259365994237
48,"frozenset({'Caps', 'Bottles and Cages', 'Vests'})",frozenset({'Jerseys'}),1.0
49,"frozenset({'Caps', 'Vests', 'Jerseys'})",frozenset({'Bottles and Cages'}),0.8971061093247589
50,"frozenset({'Bottles and Cages', 'Vests', 'Jerseys'})",frozenset({'Caps'}),0.9587628865979382
51,"frozenset({'Caps', 'Bottles and Cages', 'Jerseys'})",frozenset({'Vests'}),0.754054054054054
52,"frozenset({'Caps', 'Vests'})","frozenset({'Bottles and Cages', 'Jerseys'})",0.8971061093247589
53,"frozenset({'Bottles and Cages', 'Vests'})","frozenset({'Caps', 'Jerseys'})",0.6974999999999999
54,"frozenset({'Vests', 'Jerseys'})","frozenset({'Caps', 'Bottles and Cages'})",0.7602179836512262
